date,close
07/09/2015,	531.82
07/09/2015,	527.35
07/09/2015,	132.35
07/09/2015,	102.35
10/09/2015,	292.35
11/09/2015,	288.35
11/09/2015,	276.35
14/09/2015,	266.68
16/09/2015,	231.68
18/09/2015,	381.68
21/09/2015,	372.49
22/09/2015,	367.49
23/09/2015,	357.49
23/09/2015,	356.4
24/09/2015,	298.41
25/09/2015,	294.31
28/09/2015,	203.84
28/09/2015,	173.2
28/09/2015,	128.74
30/09/2015,	278.74
02/10/2015,	248.08
05/10/2015,	235.38
05/10/2015,	205.38
06/10/2015,	355.38
09/10/2015,	351.38
12/10/2015,	344.77
14/10/2015,	494.77
16/10/2015,	486.2
16/10/2015,	451.2
19/10/2015,	446.86
20/10/2015,	606.86
20/10/2015,	596.42
22/10/2015,	518.96
22/10/2015,	511.45
22/10/2015,	508.42
23/10/2015,	507.33
27/10/2015,	504.73
27/10/2015,	494.73
27/10/2015,	478.68
27/10/2015,	472.08
27/10/2015,	462.46
27/10/2015,	453.95
28/10/2015,	203.95
29/10/2015,	196.05
30/10/2015,	596.05
05/11/2015,	201.05
06/11/2015,	197.05
09/11/2015,	47.05
10/11/2015,	347.05
12/11/2015,	340.48
13/11/2015,	333.49
16/11/2015,	336.09
16/11/2015,	329.49
16/11/2015,	310.49
16/11/2015,	296.49
16/11/2015,	261.49
16/11/2015,	241.49
17/11/2015,	221.49
17/11/2015,	201.49
18/11/2015,	351.49
23/11/2015,	311.49
24/11/2015,	461.49
30/11/2015,	449.99
01/12/2015,	749.99
01/12/2015,	748.16
03/12/2015,	728.16
07/12/2015,	708.16
07/12/2015,	678.16
07/12/2015,	283.16
11/12/2015,	433.16
11/12/2015,	429.16
14/12/2015,	379.16
16/12/2015,	729.16
16/12/2015,	709.16
21/12/2015,	1721.5
21/12/2015,	1671.5
22/12/2015,	1454.24
23/12/2015,	1334.24
30/12/2015,	1314.24
05/01/2016,	1299.26
05/01/2016,	904.26
05/01/2016,	899.26
07/01/2016,	1169.26
08/01/2016,	1165.26
08/01/2016,	1149.52
08/01/2016,	1129.52
11/01/2016,	1127.69
11/01/2016,	1116.84
11/01/2016,	1111.81
11/01/2016,	1091.81
11/01/2016,	1071.81
15/01/2016,	1069.98
18/01/2016,	1058.05
18/01/2016,	1042.43
18/01/2016,	1022.43
18/01/2016,	1002.43
20/01/2016,	1522.43
22/01/2016,	1509.41
28/01/2016,	1485.4
28/01/2016,	1265.4
28/01/2016,	1085.4
05/02/2016,	1081.4
05/02/2016,	686.4
08/02/2016,	589.57
12/02/2016,	512.06
12/02/2016,	330.19
15/02/2016,	314.18
15/02/2016,	255.3
15/02/2016,	212.77
16/02/2016,	192.77
19/02/2016,	692.77
22/02/2016,	1342.77
22/02/2016,	1332.77
22/02/2016,	1327.14
22/02/2016,	1317.14
23/02/2016,	1297.14
02/03/2016,	1147.14
04/03/2016,	1131.64
07/03/2016,	1121.65
07/03/2016,	1108.15
07/03/2016,	1103.3
07/03/2016,	1098.53
07/03/2016,	1079.53
07/03/2016,	1075.53
08/03/2016,	1066.53
09/03/2016,	1055.33
09/03/2016,	1017.33
10/03/2016,	1005.17
10/03/2016,	995.17
10/03/2016,	985.17
11/03/2016,	981.17
11/03/2016,	976.17
11/03/2016,	971.17
11/03/2016,	969.17
16/03/2016,	949.17
29/03/2016,	929.17
31/03/2016,	829.17
31/03/2016,	779.17
05/04/2016,	767.38
08/04/2016,	763.38
11/04/2016,	963.38
13/04/2016,	763.38
15/04/2016,	754.24
18/04/2016,	752.06
18/04/2016,	744.07
18/04/2016,	739.05
18/04/2016,	719.05
21/04/2016,	710.49
21/04/2016,	662.53
25/04/2016,	659.14
29/04/2016,	653.58
03/05/2016,	649.68
06/05/2016,	645.68
10/05/2016,	625.68
10/05/2016,	575.68
10/05/2016,	475.68
11/05/2016,	320.08
13/05/2016,	358.04
13/05/2016,	354.99
16/05/2016,	419.68
16/05/2016,	339.03
16/05/2016,	335.98
16/05/2016,	326.33
16/05/2016,	269.33
16/05/2016,	249.33
17/05/2016,	228.34
17/05/2016,	208.34
17/05/2016,	200.05
18/05/2016,	194.05
24/05/2016,	494.05
25/05/2016,	485.06
30/05/2016,	476.07
30/05/2016,	469.08
07/06/2016,	449.08
08/06/2016,	439.77
08/06/2016,	431.78
09/06/2016,	424.99
09/06/2016,	416.1
10/06/2016,	412.1
10/06/2016,	406.61
13/06/2016,	392.97
14/06/2016,	372.97
16/06/2016,	352.97
08/07/2016,	348.97
18/07/2016,	328.97
26/07/2016,	324.39
27/07/2016,	316.71
29/07/2016,	311.93
02/08/2016,	291.93
02/08/2016,	283.64
02/08/2016,	278.64
02/08/2016,	271.64
03/08/2016,	251.64
05/08/2016,	247.64
08/08/2016,	227.64
09/08/2016,	187.64
15/08/2016,	167.64
15/08/2016,	165.55
16/08/2016,	145.55
17/08/2016,	142.46
18/08/2016,	136.24
19/08/2016,	130.41
23/08/2016,	110.41
29/08/2016,	107.91
29/08/2016,	87.91
31/08/2016,	75.91
01/09/2016,	71.03
02/09/2016, 63.35
